County,FIPS code,County seat,Est,Formed from,Etymology,General Law or Charter,Population,Area_sqmi,Area_km2
Yuba,115,Marysville,1850,original,Named either by the Maidu people a local Native American tribe who live on the banks of the Feather and Yuba Rivers for one of their villages or by Gabriel Moraga for the wild grapes (Vitis californica) that grow abundantly at the edge of the rivers (uva is Spanish for "grape").,General Law,78668,630,1632
Yolo,113,Woodland,1850,original,The Yolan people a local Native American tribe.,General Law,220500,1012,2621
Ventura,111,Ventura,1872,Santa Barbara,The city of Ventura derived from Mission San Buenaventura (Spanish for St. Bonaventure).,General Law,846006,1846,4781
Tuolumne,109,Sonora,1850,original,Exact etymology disputed; probably a corruption of the native term talmalamne which means "cluster of stone wigwams" a reference to local cave dwelling tribes.,General Law,54478,2236,5791
Tulare,107,Visalia,1852,Mariposa,Tulare Lake which is named after the tule rush (Schoenoplectus acutus) that grew in the marshes and sloughs along its shores.,General Law,466195,4824,12494
Trinity,105,Weaverville,1850,original,The city of Trinidad Spanish for "trinity".,General Law,12285,3179,8234
Tehama,103,Red Bluff,1856,Butte Colusa and Shasta,The city of Tehama probably a native term describing its location.,Charter,65084,2951,7643
Sutter,101,Yuba City,1850,original,John Sutter a Swiss pioneer of California associated with the California Gold Rush.,General Law,96971,603,1562
Stanislaus,099,Modesto,1854,Tuolumne,Stanislaus River named after Estanislao a native of the area when California was under Spanish and Mexican rule.,General Law,550660,1495,3872
Sonoma,097,Santa Rosa,1850,original,Exact etymology disputed; probably a Pomo term meaning "valley of the moon" which references a native legend about spiritual activity in the area.,General Law,494336,1576,4082
Solano,095,Fairfield,1850,original,Chief Solano of the Suisunes.,General Law,447643,828,2145
Siskiyou,093,Yreka,1852,Shasta and Klamath,Siskiyou Mountains; exact etymology of Siskiyou is disputed.,General Law,43539,6287,16283
Sierra,091,Downieville,1852,Yuba,Sierra is Spanish for "mountain range" a reference to the area's topography.,General Law,3005,953,2468
Shasta,089,Redding,1850,original,Mount Shasta; the indigenous Shasta people.,General Law,180080,3786,9806
Santa Cruz,087,Santa Cruz,1850,original,The city of Santa Cruz from Mission Santa Cruz (Spanish for "holy cross").,General Law,273213,446,1155
Santa Clara,085,San Jose,1850,original,City of Santa Clara from Mission Santa Clara de Asís named for Saint Clare of Assisi (Spanish for Saint Clare).,Charter,1927852,1291,3344
Santa Barbara,083,Santa Barbara,1850,original,The city of Santa Barbara from Mission Santa Barbara (Spanish for Saint Barbara).,General Law,446499,2738,7091
San Mateo,081,Redwood City,1856,San Francisco and Santa Cruz,Spanish for Saint Matthew.,Charter,766573,449,1163
San Luis Obispo,079,San Luis Obispo,1850,original,The city of San Luis Obispo from Mission San Luis Obispo named after Saint Louis of Toulouse (Spanish for Saint Louis the Bishop).,General Law,283111,3304,8557
San Joaquin,077,Stockton,1850,original,Spanish for Saint Joachim father of the Virgin Mary.,General Law,762148,1399,3623
San Francisco,075,San Francisco,1850,original,The city of San Francisco from Presidio of San Francisco and Mission San Francisco de Asís named after Saint Francis of Assisi (Spanish for Saint Francis).,Charter,881549,47,122
San Diego,073,San Diego,1850,original,The city of San Diego from Mission San Diego (Spanish for Saint Didacus).,Charter,3338330,4204,10888
San Bernardino,071,San Bernardino,1853,Los Angeles,The city of San Bernardino named after Saint Bernardino of Siena (Spanish for Saint Bernardine).,Charter,2180085,20062,51960
San Benito,069,Hollister,1874,Monterey,Saint Benedict (Benito is a Spanish diminutive of Benedict).,General Law,62808,1389,3597
Sacramento,067,Sacramento,1850,original,The city of Sacramento named after the Santisimo Sacramento (Spanish for "Most Holy Sacrament").,Charter,1552058,966,2502
Riverside,065,Riverside,1893,San Bernardino and San Diego,The city of Riverside named for its location on the Santa Ana River.,General Law,2470546,7208,18669
Plumas,063,Quincy,1854,Butte,The Feather River; plumas is Spanish for "feathers".,General Law,18807,2554,6615
Placer,061,Auburn,1851,Sacramento,California Gold Rush a reference to the area being a center of the California Gold Rush.,Charter,398329,1407,3644
Orange,059,Santa Ana,1889,Los Angeles,Oranges which were widely cultivated in the area at the time the county was established.,Charter,3175692,948,2455
Nevada,057,Nevada City,1851,Yuba,The phrase Sierra Nevada; nevada is Spanish for "snow-covered" referencing the area's high elevation. The neighboring state was named after the county which was named after Nevada City.,General Law,99755,958,2481
